City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,murzuq,25.9155,13.9184,40.25,9,1,1.13,LY,1746631347
330,les cayes,18.2,-73.75,28.85,65,16,3.94,HT,1746631348
331,westport,41.1415,-73.3579,21.2,66,0,4.12,US,1746631327
332,kirensk,57.7853,108.1119,4.07,84,71,1.24,RU,1746631350
333,camana,-16.6228,-72.7111,20.93,73,33,3.87,PE,1746631351
334,sogndal,61.2283,7.1003,15.21,35,75,1.03,NO,1746631352
335,undurkhaan,47.3194,110.6556,9.68,52,100,8.02,MN,1746631353
336,blenod-les-pont-a-mousson,48.8849,6.0484,15.95,50,0,5.14,FR,1746631354
337,lianyuan,27.6883,111.6642,20.78,93,35,1.18,CN,1746631355
338,lorengau,-2.0226,147.2712,24.08,90,100,0.69,PG,1746631356
339,montrose,38.4166,-108.2673,5.3,59,90,1.13,US,1746631357
340,east ballina,-28.8667,153.5833,16.47,91,92,3.08,AU,1746631358
341,persembe,41.0656,37.7714,16.68,74,100,2.32,TR,1746631360
342,ribeira grande,38.5167,-28.7,15.99,67,20,6.17,PT,1746631361
343,katsuura,35.1333,140.3,15.9,81,5,3.4,JP,1746631363
344,shiguai,40.7058,110.2856,15.62,29,99,2.55,CN,1746631364
345,qamdo,31.1667,97.2333,3.95,78,100,1.65,CN,1746631365
346,kununurra,-15.7667,128.7333,25.99,41,20,5.14,AU,1746631366
347,babu,24.4167,111.5167,24.4,96,84,1.44,CN,1746631367
348,naryn,41.4287,75.9911,17.58,19,0,1.39,KG,1746631368
349,irymple,-34.25,142.1667,10.05,70,0,5.52,AU,1746631369
350,pingzhuang,42.0372,119.2889,14.04,60,93,8.47,CN,1746631370
351,opuwo,-18.0607,13.84,26.9,26,0,5.74,NA,1746631265
352,conceicao do araguaia,-8.2578,-49.2647,31.91,53,0,2.15,BR,1746631372
353,coruripe,-10.1256,-36.1756,29.94,54,56,5.0,BR,1746631327
354,song cau,13.45,109.2167,26.72,84,95,1.12,VN,1746631374
355,sola,-13.8833,167.55,26.13,82,100,4.93,VU,1746631375
356,lakhipur,26.0299,90.3041,28.63,55,96,1.37,IN,1746631376
357,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1746631377
358,mount gambier,-37.8333,140.7667,12.42,52,42,4.11,AU,1746631378
359,bandarbeyla,9.4942,50.8122,29.65,78,94,4.93,SO,1746631379
360,sinop,41.7711,34.8709,16.94,86,71,4.84,TR,1746631381
361,tazacorte,28.629,-17.9293,23.54,69,40,4.12,ES,1746631382
362,benjamin hill,30.1667,-111.1,19.39,35,0,1.85,MX,1746631383
363,valparaiso,-33.0393,-71.6273,16.13,65,75,4.12,CL,1746631345
364,miles city,46.4083,-105.8406,14.54,54,0,8.75,US,1746631385
